Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[clr.dll]",253,22.29,253,22.29,0,0,0,0,
"[igd10umd32.dll]",195,17.18,361,31.81,0,0,0,0,
"Client81.MainPage.InitializeComponent",194,17.09,253,22.29,70,13,70,110,
"[Windows.UI.Xaml.dll]",174,15.33,587,51.72,0,0,0,0,
"[d3d11.dll]",118,10.40,118,10.40,0,0,0,0,
"[ntdll.dll]",48,4.23,48,4.23,0,0,0,0,
"[mscorlib.ni.dll]",24,2.11,31,2.73,0,0,0,0,
"[KernelBase.dll]",13,1.15,13,1.15,0,0,0,0,
"System.Runtime.CompilerServices.AsyncMethodBuilderCore.Start",12,1.06,24,2.11,0,0,0,0,
"System.Runtime.CompilerServices.AsyncMethodBuilderCore.Start",10,0.88,115,10.13,0,0,0,0,
"[System.Runtime.WindowsRuntime.ni.dll]",7,0.62,14,1.23,0,0,0,0,
"[user32.dll]",7,0.62,7,0.62,0,0,0,0,
"Client81.PageBookmarks.InitializeComponent",7,0.62,16,1.41,36,13,36,101,
"[kernel32.dll]",6,0.53,9,0.79,0,0,0,0,
"[setupapi.dll]",6,0.53,6,0.53,0,0,0,0,
"System.Runtime.CompilerServices.AsyncMethodBuilderCore.Start",6,0.53,66,5.81,0,0,0,0,
"System.Runtime.CompilerServices.AsyncMethodBuilderCore.Start",6,0.53,59,5.20,0,0,0,0,
"[nvumdshim.dll]",5,0.44,400,35.24,0,0,0,0,
"System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1[System.__Canon].AwaitUnsafeOnCompleted",5,0.44,5,0.44,0,0,0,0,
"System.Runtime.CompilerServices.AsyncVoidMethodBuilder.AwaitUnsafeOnCompleted",5,0.44,5,0.44,0,0,0,0,
"[System.ni.dll]",4,0.35,4,0.35,0,0,0,0,
"Client81.MainPage+<Browse>d__1f.MoveNext",4,0.35,42,3.70,354,21,354,74,
"Client81.PageBookmarks..ctor",4,0.35,4,0.35,38,9,38,10,
"Client81.PageBookmarks..ctor",3,0.26,4,0.35,37,13,37,59,
"[combase.dll]",2,0.18,2,0.18,0,0,0,0,
"[Windows.ApplicationModel.ni.dll]",2,0.18,4,0.35,0,0,0,0,
"Client81.MainPage.ProgressStart",2,0.18,2,0.18,191,9,191,10,
"[advapi32.dll]",1,0.09,1,0.09,0,0,0,0,
"[gdi32.dll]",1,0.09,1,0.09,0,0,0,0,
"[msvcrt.dll]",1,0.09,1,0.09,0,0,0,0,
"[msxml6.dll]",1,0.09,1,0.09,0,0,0,0,
"[nvinit.dll]",1,0.09,19,1.67,0,0,0,0,
"[twinapi.dll]",1,0.09,1,0.09,0,0,0,0,
"[Windows.Graphics.ni.dll]",1,0.09,9,0.79,0,0,0,0,
"[Windows.UI.ni.dll]",1,0.09,21,1.85,0,0,0,0,
"[Windows.UI.Xaml.ni.dll]",1,0.09,713,62.82,0,0,0,0,
"Client81.MainPage.InitializeComponent",1,0.09,1,0.09,80,13,80,105,
"Client81.MainPage+<AppBarButtonBookmarks_Click>d__8.MoveNext",1,0.09,1,0.09,264,13,264,34,
"Client81.MainPage+<resize>d__15.MoveNext",1,0.09,1,0.09,279,13,284,55,
